NKX2-8_MOUSE.MA0673.1	NKX2-8
NKX6-1_MOUSE.MA0674.1	NKX6-1
NKX6-2_MOUSE.MA0675.1	NKX6-2
Nr2e1_MOUSE.MA0676.1	Nr2e1
Nr2f6_MOUSE.MA0677.1	Nr2f6
OLIG2_MOUSE.MA0678.1	OLIG2
ONECUT1_MOUSE.MA0679.1	ONECUT1
PAX4_MOUSE.MA0068.2	PAX4
PAX7_MOUSE.MA0680.1	PAX7
Phox2b_MOUSE.MA0681.1	Phox2b
Pitx1_MOUSE.MA0682.1	Pitx1
POU4F2_MOUSE.MA0683.1	POU4F2
Prrx2_MOUSE.MA0075.2	Prrx2
RUNX3_MOUSE.MA0684.1	RUNX3
Rxra_MOUSE.MA0512.2	Rxra
SP4_MOUSE.MA0685.1	SP4
SPDEF_MOUSE.MA0686.1	SPDEF
SPI1_MOUSE.MA0080.4	SPI1
SPIC_MOUSE.MA0687.1	SPIC
SRF_MOUSE.MA0083.3	SRF
T_MOUSE.MA0009.2	T
TBX2_MOUSE.MA0688.1	TBX2
TBX20_MOUSE.MA0689.1	TBX20
TBX21_MOUSE.MA0690.1	TBX21
TEAD1_MOUSE.MA0090.2	TEAD1
TFAP4_MOUSE.MA0691.1	TFAP4
TFCP2_MOUSE.MA0145.3	TFCP2
TFEB_MOUSE.MA0692.1	TFEB
ZBTB7B_MOUSE.MA0694.1	ZBTB7B
ZBTB7C_MOUSE.MA0695.1	ZBTB7C
ZIC1_MOUSE.MA0696.1	ZIC1
ZIC3_MOUSE.MA0697.1	ZIC3
ZBTB18_MOUSE.MA0698.1	ZBTB18
LBX2_MOUSE.MA0699.1	LBX2
LHX2_MOUSE.MA0700.1	LHX2
LHX9_MOUSE.MA0701.1	LHX9
LMX1A_MOUSE.MA0702.1	LMX1A
LMX1B_MOUSE.MA0703.1	LMX1B
Lhx4_MOUSE.MA0704.1	Lhx4
Lhx8_MOUSE.MA0705.1	Lhx8
MEOX2_MOUSE.MA0706.1	MEOX2
MNX1_MOUSE.MA0707.1	MNX1
MSX2_MOUSE.MA0708.1	MSX2
Msx3_MOUSE.MA0709.1	Msx3
NKX3-2_MOUSE.MA0122.2	NKX3-2
NOTO_MOUSE.MA0710.1	NOTO
Nkx3-1_MOUSE.MA0124.2	Nkx3-1
