FeatureID,FeatureName,crabp1+ Average,crabp1+ Log2 Fold Change,crabp1+ P-Value,crabp1- Average,crabp1- Log2 Fold Change,crabp1- P-Value
promoter_sum_Gm9767,Gm9767 Sum,1.4506907608571786,3.9468348489327045,1.0038283826553064e-21,0.08819691702221658,-3.9468348489327045,1.0038283826553135e-21
promoter_sum_Gpc6,Gpc6 Sum,3.7729427693439663,3.943773193914861,5.51616986351504e-35,0.239391631917445,-3.943773193914861,5.51616986351504e-35
promoter_sum_Gm9992,Gm9992 Sum,1.152525070878628,3.938289739799696,8.074155585101325e-19,0.06929757766031303,-3.938289739799696,8.074155585101325e-19
promoter_sum_Gdf10,Gdf10 Sum,1.1123873818430539,3.887408570797512,2.948656671561657e-17,0.06929757766031303,-3.887408570797512,2.948656671561657e-17
promoter_sum_RP23-249L6.2,RP23-249L6.2 Sum,2.041288185237769,3.88538940316086,4.304571665004988e-26,0.13229537553332488,-3.88538940316086,4.304571665004988e-26
promoter_sum_Dpt,Dpt Sum,1.0149101370423739,3.8813425700981576,1.8802272319689613e-19,0.06299779787301185,-3.8813425700981576,1.8802272319689613e-19
promoter_sum_Adcy2,Adcy2 Sum,3.4231714791768204,3.8795890663382124,9.43479332661932e-35,0.22679207234284265,-3.8795890663382124,9.43479332661932e-35
promoter_sum_Fmn2,Fmn2 Sum,1.5653698723873903,3.875609999479245,3.581474821410979e-21,0.10079647659681895,-3.875609999479245,3.581474821410979e-21
promoter_sum_Slit3,Slit3 Sum,4.8910641067635305,3.8752125628263485,2.8119360593706815e-36,0.3275885489396616,-3.8752125628263485,2.8119360593707216e-36
promoter_sum_Egflam,Egflam Sum,1.3646814272095198,3.859016970141287,5.82412413774437e-18,0.08819691702221658,-3.859016970141287,5.82412413774437e-18
promoter_sum_Epha5,Epha5 Sum,1.181194848761181,3.858087997127291,7.302504721042543e-15,0.07559735744761421,-3.858087997127291,7.302504721042543e-15
promoter_sum_Epha3,Epha3 Sum,1.7201866729531763,3.8507329210851737,4.4428255948043125e-27,0.11339603617142133,-3.8507329210851737,4.4428255948043125e-27
promoter_sum_Ddr2,Ddr2 Sum,5.693817887475014,3.844862875831427,3.5516756079590813e-39,0.39058634681267346,-3.844862875831427,3.5516756079590813e-39
promoter_sum_Dio3,Dio3 Sum,1.4277549385511363,3.8308250424311443,2.535283579671238e-16,0.09449669680951776,-3.8308250424311443,2.535283579671238e-16
promoter_sum_Fbn2,Fbn2 Sum,2.8440419659492515,3.8221427993313437,1.7097652418254544e-27,0.19529317340633673,-3.8221427993313437,1.7097652418254544e-27
promoter_sum_Kcnn2,Kcnn2 Sum,3.1995472116929076,3.8218202291699352,1.5258504105110855e-28,0.22049229255554145,-3.8218202291699352,1.5258504105110855e-28
promoter_sum_Tmem132e,Tmem132e Sum,3.8990897920271994,3.817120127143831,1.2595514142218385e-19,0.27089053085395093,-3.817120127143831,1.2595514142218296e-19
promoter_sum_Kcna1,Kcna1 Sum,1.4048191162450938,3.807555263108297,2.7305582847500477e-15,0.09449669680951776,-3.807555263108297,2.7305582847500477e-15
