FeatureID,FeatureName,crabp1+ Average,crabp1+ Log2 Fold Change,crabp1+ P-Value,crabp1- Average,crabp1- Log2 Fold Change,crabp1- P-Value
ZBTB33_MOUSE.MA0527.1,ZBTB33,1030.2610761145108,-0.14034455626422826,6.267111446201447e-13,1136.1529767789307,0.14034455626422826,6.267111446199896e-13
RXRA::VDR_MOUSE.MA0074.1,RXRA::VDR,222.18263192448993,-0.13798186753709007,2.493429658725081e-10,244.61799788854327,0.13798186753709007,2.493429658728262e-10
ID4_MOUSE.MA0824.1,ID4,1760.3159021707868,-0.13790182347801583,1.3099968443342668e-16,1937.9599065902962,0.13790182347801583,1.3099968443466512e-16
USF1_MOUSE.MA0093.2,USF1,923.8855362647898,-0.13567810164241223,3.25819569754871e-16,1015.5538019448941,0.13567810164241223,3.2581956975546117e-16
NR2F2_MOUSE.MA1111.1,NR2F2,885.5637709399442,-0.1349710468968084,2.15862440795799e-16,972.9527799042235,0.1349710468968084,2.1586244079580052e-16
MAX::MYC_MOUSE.MA0059.1,MAX::MYC,363.8219839186221,-0.13473363631131896,7.35678530316963e-14,399.65881353132045,0.13473363631131896,7.35678530316963e-14
TCF4_MOUSE.MA0830.1,TCF4,1364.3395978249368,-0.13436599328339227,1.931627006375708e-14,1498.3465267183378,0.13436599328339227,1.931627006457311e-14
Klf12_MOUSE.MA0742.1,Klf12,3276.5739268192187,-0.1306327591190506,7.471186504207565e-12,3589.1031048067275,0.1306327591190506,7.471186504029178e-12
SNAI2_MOUSE.MA0745.1,SNAI2,6623.520862317014,-0.12940501064621834,1.0293846406629412e-18,7249.119907361841,0.12940501064621834,1.0293846406645744e-18
TP73_MOUSE.MA0861.1,TP73,308.6642965891371,-0.12463705941239489,1.1214291342032103e-08,336.70334123719084,0.12463705941239489,1.1214291342034732e-08
NR1H2::RXRA_MOUSE.MA0115.1,NR1H2::RXRA,605.1597720014516,-0.12347805398216494,9.303510140260102e-14,659.6023672314551,0.12347805398216494,9.303510139705492e-14
SPDEF_MOUSE.MA0686.1,SPDEF,186.98181132499408,-0.12333620712350601,5.41820198931694e-06,203.7833750205786,0.12333620712350601,5.4182019893168915e-06
HES5_MOUSE.MA0821.1,HES5,71.1518132338923,-0.12123535284390208,0.0005783476461482307,77.43240216865591,0.12123535284390208,0.0005783476461488535
TCF3_MOUSE.MA0522.2,TCF3,1563.8681795962455,-0.12033242756072937,8.535311505225013e-14,1700.84753365624,0.12033242756072937,8.535311504709142e-14
PRDM1_MOUSE.MA0508.2,PRDM1,394.0808314943072,-0.120253637213116,1.430164104839351e-10,428.57495657205897,0.120253637213116,1.4301641048394137e-10
MITF_MOUSE.MA0620.2,MITF,812.1442620891005,-0.1196259074941537,9.526108340006819e-12,882.8475637420613,0.1196259074941537,9.526108340427615e-12
NFIC::TLX1_MOUSE.MA0119.1,NFIC::TLX1,278.9666464136067,-0.11846934953057442,1.898437422887919e-05,303.0097484766781,0.11846934953057442,1.8984374228878626e-05
SCRT1_MOUSE.MA0743.1,SCRT1,320.1631167882241,-0.11543089101898474,3.5286961940059458e-09,347.025147079124,0.11543089101898474,3.5286961940016457e-09
USF2_MOUSE.MA0526.2,USF2,1830.3625001166195,-0.11521916802486842,1.6337499412715368e-12,1983.6411264766107,0.11521916802486842,1.6337499412783352e-12
HEY1_MOUSE.MA0823.1,HEY1,329.4686859234414,-0.11267193471279313,9.81593148725004e-07,356.4291796854164,0.11267193471279313,9.815931487193016e-07
PAX5_MOUSE.MA0014.3,PAX5,387.31783017203537,-0.1117465635892767,7.678663446451485e-08,418.7434679382079,0.1117465635892767,7.67866344645494e-08
TFCP2_MOUSE.MA0145.3,TFCP2,317.44875385278226,-0.1094628522045884,1.2093905164495814e-05,342.6625811508039,0.1094628522045884,1.2093905164406332e-05
JUN::JUNB(var.2)_MOUSE.MA1133.1,JUN::JUNB(var.2),419.35762051759895,-0.10855343876511547,5.190740455282126e-09,452.3804856362496,0.10855343876511547,5.190740455527329e-09
NRF1_MOUSE.MA0506.1,NRF1,7174.204400974882,-0.10839751767648664,1.888046619919544e-09,7738.311900312561,0.10839751767648664,1.8880466199228904e-09
BHLHE41_MOUSE.MA0636.1,BHLHE41,1020.995592507876,-0.10763309279857403,1.6852130527710342e-12,1100.692984845712,0.10763309279857403,1.6852130527692395e-12
HNF4G_MOUSE.MA0484.1,HNF4G,923.971433826038,-0.10703643871076807,5.306545072747966e-13,995.6833827814648,0.10703643871076807,5.306545072452435e-13
Klf1_MOUSE.MA0493.1,Klf1,2573.5023880030317,-0.10676237777657782,4.244898921339809e-12,2772.7123811139463,0.10676237777657782,4.244898921602339e-12
Nfe2l2_MOUSE.MA0150.2,Nfe2l2,882.2194925553492,-0.1055516195880788,0.00025585766613101245,949.7130014647429,0.1055516195880788,0.0002558576661311514
FOSL1::JUND(var.2)_MOUSE.MA1143.1,FOSL1::JUND(var.2),1073.3129338120884,-0.10464907070355878,1.0229866695992006e-09,1154.7033111513697,0.10464907070355878,1.0229866695997489e-09
PBX3_MOUSE.MA1114.1,PBX3,1169.7701685896886,-0.10443234323856032,5.504192658605861e-13,1258.285964417737,0.10443234323856032,5.504192658333689e-13
IRF9_MOUSE.MA0653.1,IRF9,347.0719594752309,-0.1024798196313057,2.369409174302829e-06,372.829661683957,0.1024798196313057,2.369409174308006e-06
FOXH1_MOUSE.MA0479.1,FOXH1,275.60518851676204,-0.1018587469138339,2.8271678728531188e-08,295.9315795497495,0.1018587469138339,2.827167872896017e-08
TFEB_MOUSE.MA0692.1,TFEB,1770.520532447068,-0.0999810145044524,3.977471937977695e-12,1898.6276659368393,0.0999810145044524,3.977471937992107e-12
POU5F1B_MOUSE.MA0792.1,POU5F1B,1966.4585961582036,-0.0990935758410103,3.7466131056423146e-13,2107.446221517338,0.0990935758410103,3.74661310564697e-13
POU3F4_MOUSE.MA0789.1,POU3F4,1966.4585961582036,-0.0990935758410103,3.7466131056423146e-13,2107.446221517338,0.0990935758410103,3.74661310564697e-13
KLF13_MOUSE.MA0657.1,KLF13,1987.205720451676,-0.09883763458647543,6.192266662389495e-08,2129.303053985305,0.09883763458647543,6.192266662501728e-08
E2F7_MOUSE.MA0758.1,E2F7,150.65859592518893,-0.09835280518069034,7.262982158702537e-05,161.37722263953032,0.09835280518069034,7.262982158702568e-05
NR4A2_MOUSE.MA0160.1,NR4A2,7250.842205120491,-0.09801082894822244,2.7580368234978912e-15,7764.870749083674,0.09801082894822244,2.758036823678492e-15
TBX5_MOUSE.MA0807.1,TBX5,5138.9189522405695,-0.09542887839252145,3.529866137937045e-15,5493.388276990668,0.09542887839252145,3.5298661382311457e-15
TBX4_MOUSE.MA0806.1,TBX4,5138.9189522405695,-0.09542887839252145,3.529866137937045e-15,5493.388276990668,0.09542887839252145,3.5298661382311457e-15
TBX1_MOUSE.MA0805.1,TBX1,5138.9189522405695,-0.09542887839252145,3.529866137937045e-15,5493.388276990668,0.09542887839252145,3.5298661382311457e-15
TBX15_MOUSE.MA0803.1,TBX15,5138.9189522405695,-0.09542887839252145,3.529866137937045e-15,5493.388276990668,0.09542887839252145,3.5298661382311457e-15
MGA_MOUSE.MA0801.1,MGA,5138.9189522405695,-0.09542887839252145,3.529866137937045e-15,5493.388276990668,0.09542887839252145,3.5298661382311457e-15
SP4_MOUSE.MA0685.1,SP4,13024.217724252218,-0.09508035075619858,1.8153636972812742e-07,13919.231767041207,0.09508035075619858,1.8153636972329131e-07
E2F1_MOUSE.MA0024.3,E2F1,24.48080495572552,-0.09507386824600417,0.11153583955462736,26.162823333816032,0.09507386824600417,0.11153583955456776
SP8_MOUSE.MA0747.1,SP8,10180.716395229887,-0.09400474030439732,1.7750647892710913e-07,10872.218338595592,0.09400474030439732,1.77506478920215e-07
IRF8_MOUSE.MA0652.1,IRF8,138.70165539944512,-0.09287616545557675,0.0006540357827767106,148.00664954221492,0.09287616545557675,0.0006540357827770441
